Nom;Ville;IATA;OACI;Lat;Lon;Alt
Columbus Metropolitan Airport;Columbus;CSG;KCSG;32.516300201416016;-84.93890380859375;397
Lawton Fort Sill Regional Airport;Lawton;LAW;KLAW;34.5676994324;-98.4166030884;1110
Northern Colorado Regional Airport;Fort Collins;FNL;KFNL;40.451803999999996;-105.01100000000001;5016
Flagstaff Pulliam Airport;Flagstaff;FLG;KFLG;35.13850021;-111.6709976;7014
Lake Tahoe Airport;South Lake Tahoe;TVL;KTVL;38.89390182495117;-119.99500274658205;6264
Joslin Field Magic Valley Regional Airport;Twin Falls;TWF;KTWF;42.4818;-114.487999;4154
Martha's Vineyard Airport;Vineyard Haven MA;MVY;KMVY;41.393100738499996;-70.6143035889;67
Concord Municipal Airport;Concord NH;CON;KCON;43.20270157;-71.50229645;342
Groton New London Airport;Groton CT;GON;KGON;41.3301010131836;-72.04509735107422;9
St Cloud Regional Airport;Saint Cloud;STC;KSTC;45.54660034179688;-94.05989837646484;1031
Qinhuangdao Beidaihe Airport;Bagan;BPE;ZBDH;39.666389;119.058889;46
Golden Triangle Regional Airport;Columbus Mississippi;GTR;KGTR;33.450298309299995;-88.59140014649999;264
Nizhny Novgorod Strigino International Airport;Nizhniy Novgorod;GOJ;UWGG;56.23009872436499;43.784000396729;256
Bowerman Airport;Hoquiam;HQM;KHQM;46.9711990356;-123.93699646;18
Erie International Tom Ridge Field;Erie;ERI;KERI;42.0831270134;-80.1738667488;732
Barnstable Municipal Boardman Polando Field;Barnstable;HYA;KHYA;41.66930008;-70.28040314;54
San Pedro Airport (37);San Pedro (74);SPR;MZSP;17.9139;-87.9711;4
Sedona Airport;Sedona;SDX;KSEZ;34.848598480225;-111.78800201416;4830
Morgantown Municipal Walter L. Bill Hart Field;Morgantown;MGW;KMGW;39.64289856;-79.91629791;1248
Yeager Airport;Charleston;CRW;KCRW;38.37310028076172;-81.59320068359375;981
Wilkes Barre Scranton International Airport;Scranton;AVP;KAVP;41.338500976599995;-75.72339630130001;962
Bemidji Regional Airport;Bemidji;BJI;KBJI;47.50939941;-94.93370056;1391
Thangool Airport;Biloela;THG;YTNG;-24.493900299072266;150.5760040283203;644
Fagali'i Airport;Apia;FGI;NSFI;-13.8486995697;-171.74000549299998;131
Ballina Byron Gateway Airport;Ballina Byron Bay;BNK;YBNA;-28.8339004517;153.56199646;7
Hector International Airport;Fargo;FAR;KFAR;46.92070007324219;-96.81580352783205;902
Charles B. Wheeler Downtown Airport;Kansas City;MKC;KMKC;39.12319946289063;-94.5927963256836;759
Ratanakiri Airport;Ratanakiri;RBE;VDRK;13.729999542236328;106.98699951171876;0
Gillette Campbell County Airport;Gillette;GCC;KGCC;44.3488998413;-105.539001465;4365
Bogashevo Airport;Tomsk;TOF;UNTT;56.380298614502;85.208297729492;597
El Toro Marine Corps Air Station;Santa Ana (69);NZJ;KNZJ;33.676101684570305;-117.7310028076172;383
Phetchabun Airport;Phetchabun;PHY;VTPB;16.6760005951;101.194999695;450
Chumphon Airport;Chumphon;CJM;VTSE;10.711199760437012;99.36170196533205;18
Jiuzhai Huanglong Airport;Jiuzhaigou;JZH;ZUJZ;32.8533333333;103.68222222200001;11327
Jieyang Chaoshan International Airport;Shantou;SWA;ZGOW;23.552;116.5033;0
Enghien Moisselles Airfield;Enghien-moisselles;;LFFE;49.046397999999996;2.3530599999999997;335
Cheddi Jagan International Airport;Georgetown (75);GEO;SYCJ;6.498549938201903;-58.25410079956055;95
Guarani International Airport;Ciudad del Este;AGT;SGES;-25.454516;-54.842681999999996;846
Eugene F. Correira International Airport;Georgetown (75);OGL;SYGO;6.80628;-58.1059;10
Kaieteur International Airport;Kaieteur;KAI;PKSA;5.17275476456;-59.491481781000005;1520
Dunhuang Airport;Dunhuang;DNH;ZLDH;40.16109848022461;94.80919647216795;0
Ancona Falconara Airport;Ancona;AOI;LIPY;43.616299;13.3623;49
Chamonate Airport;Copiapo;;SCHA;-27.296899795500003;-70.4131011963;984
Taba International Airport;Taba;TCP;HETB;29.5877990723;34.778099060100004;2415
Edward Bodden Airfield;Little Cayman;LYB;MWCL;19.660161;-80.088826;3
Milas Bodrum International Airport;Bodrum;BJV;LTFE;37.25059890749999;27.664300918600002;21
Tabarka 7 Novembre Airport;Tabarka;TBJ;DTKA;36.97999954223633;8.87693977355957;230
Sabiha Gökçen International Airport;Istanbul;SAW;LTFJ;40.898601532;29.3092002869;312
University Park Airport;State College Pennsylvania;SCE;KUNV;40.8493003845;-77.84870147710002;1239
Broome International Airport;Broome;BME;YBRM;-17.944700241088867;122.23200225830078;56
Newcastle Airport (38);Newcastle (76);NTL;YWLM;-32.794998168945305;151.83399963378906;31
Bakki Airport;Bakki;;BIBA;63.55609893798828;-20.137500762939453;45
Klagenfurt Airport;Klagenfurt;KLU;LOWK;46.642502;14.3377;1472
Hammerfest Airport;Hammerfest;HFT;ENHF;70.67970275878899;23.668600082397;266
Valan Airport;Honningsvag;HVG;ENHV;71.009696960449;25.983600616455004;44
Mehamn Airport;Mehamn;MEH;ENMH;71.02970123291;27.826700210570998;39
Vadsø Airport;Vadsø;VDS;ENVD;70.065299987793;29.844699859619002;127
Imam Khomeini International Airport;Tehran;IKA;OIIE;35.416099548339844;51.152198791503906;3305
Mashhad International Airport;Mashhad;MHD;OIMM;36.235198974609375;59.64099884033203;3263
Ust-Ilimsk Airport;Ust Ilimsk;UIK;UIBS;58.13610076904297;102.56500244140624;1339
Key Field;Meridian;MEI;KMEI;32.33259963989258;-88.75189971923828;297
Abraham Lincoln Capital Airport;Springfield;SPI;KSPI;39.84410095;-89.67790222;598
Cortez Municipal Airport;Cortez;CEZ;KCEZ;37.3030014038;-108.627998352;5918
Yampa Valley Airport;Hayden;HDN;KHDN;40.48120117;-107.21800230000001;6606
Gallup Municipal Airport;Gallup;GUP;KGUP;35.511100769;-108.789001465;6472
Liberal Mid-America Regional Airport;Liberal;LBL;KLBL;37.04420089999999;-100.95999909999999;2885
Lamar Municipal Airport;Lamar;LAA;KLAA;38.069698333699996;-102.68800354;3706
Renner Field-Goodland Municipal Airport;Goodland;GLD;KGLD;39.37060165;-101.6989975;3656
Yellowstone Regional Airport;Cody;COD;KCOD;44.520198822;-109.024002075;5102
Ørsta-Volda Airport, Hovden;Orsta-Volda;HOV;ENOV;62.180000305176;6.074100017547599;243
St. Mary's Airport;ST MARY\'S;ISC;EGHE;49.91329956054688;-6.291669845581055;116
Springfield Branson National Airport;Springfield;SGF;KSGF;37.24570084;-93.38860321;1268
Narvik Framnes Airport;Narvik;NVK;ENNK;68.436897277832;17.386699676514002;95
Berlevåg Airport;Berlevag;BVG;ENBV;70.871399;29.034201;42
Oslo, Fornebu Airport;Oslo;FBU;ENFB;59.89580154418945;10.617199897766113;0
Norilsk-Alykel Airport;Norilsk;NSK;UOOO;69.31109619140625;87.33219909667969;574
Anapa Vityazevo Airport;Anapa;AAQ;URKA;45.002101898193;37.347301483154;174
Joplin Regional Airport;Joplin;JLN;KJLN;37.151798248291016;-94.49829864501952;981
Lehigh Valley International Airport;Allentown;ABE;KABE;40.652099609375;-75.44080352783203;393
Northwest Arkansas Regional Airport;Bentonville;XNA;KXNA;36.281898;-94.30680100000001;1287
Atyrau Airport;Atyrau;GUW;UATG;47.12189865112305;51.8213996887207;-72
Kzyl-Orda Southwest Airport;Kzyl-Orda;KZO;UAOO;44.706902;65.592499;433
South Bend Regional Airport;South Bend;SBN;KSBN;41.70869827270508;-86.31729888916016;799
Bykovo Airport;Moscow;BKA;UUBB;55.6171989441;38.0600013733;427
Talagi Airport;Arkhangelsk;ARH;ULAA;64.60030364990234;40.71670150756836;62
Saratov Central Airport;Saratov;RTW;UWSS;51.56499862670898;46.04669952392578;499
Novy Urengoy Airport;Novy Urengoy;NUX;USMU;66.06939697265625;76.52030181884766;210
Noyabrsk Airport;Noyabrsk;NOJ;USRO;63.18330001831055;75.2699966430664;446
Aktau Airport;Aktau;SCO;UATE;43.8601;51.091999;73
Ukhta Airport;Ukhta;UCT;UUYH;63.56689834594727;53.8046989440918;482
Usinsk Airport;Usinsk;USK;UUYS;66.00469970703125;57.3671989440918;262
Pechora Airport;Pechora;PEX;UUYP;65.12110137939453;57.13079833984375;98
Naryan Mar Airport;Naryan-Mar;NNM;ULAM;67.63999938964844;53.12189865112305;36
Pskov Airport;Pskov;PKV;ULOO;57.78390121459961;28.39559936523437;154
Kogalym International Airport;Kogalym;KGP;USRK;62.19039916992188;74.53379821777344;220
Yemelyanovo Airport;Krasnoyarsk;KJA;UNKL;56.172901;92.493301;942
Sary-Arka Airport;Karaganda;KGF;UAKK;49.670799255371094;73.33439636230469;1765
Novosibirsk North Airport;Novosibirsk;;UNCC;55.09170150756836;82.90670013427734;558
