Nom;Alias;IATA;OACI;Pays
Air Data;\N;;AFS;United Kingdom
Air Afrique Vacancies;\N;;AFV;Ivory Coast
Air Cargo America;\N;;MVM;United States
Air Salone;\N;2O;;Sierra Leone
Air-Angol;\N;;NGO;Angola
Air Nigeria;\N;;NGP;Nigeria
Air Cargo Carriers;\N;2Q;SNC;United States
Air Samarkand;\N;;SND;Uzbekistan
Air Senegal International;\N;V7;SNG;Senegal
Air Sandy;\N;;SNY;Canada
Air Namibia;\N;SW;NMB;Namibia
Air Intersalonika;\N;;NSK;Greece
Air Anatolia;\N;;NTL;Turkey
Air Saigon;\N;;SGA;Vietnam
Afrique Regional Airways;\N;;AFW;Ivory Coast
Airfreight Express;\N;;AFX;United Kingdom
Africa Chartered Services;\N;;AFY;Nigeria
Africa Freight Services;\N;;AFZ;Zambia
Aeronaves Del Centro;\N;;AGA;Venezuela
Air Service Gabon;\N;G8;AGB;Gabon
Arab Agricultural Aviation Company;\N;;AGC;Egypt
Atlantic Gulf Airlines;\N;;AGF;United States
Aerolitoral;\N;5D;SLI;Mexico
Algoma Airways;\N;;AGG;Canada
Altagna;\N;;AGH;France
Angola Air Charter;\N;;AGO;Angola
Angola Air Charter;\N;;AGO;Angola
AERFI Group;\N;;AGP;Ireland
Aerogala;\N;;AGQ;Chile
Amadeus Global Travel Distribution;\N;1A;AGT;Spain
Angara Airlines;\N;;AGU;Russia
Air Glaciers;\N;7T;AGV;Switzerland
Aero Gambia;\N;;AGW;Gambia
Aviogenex;\N;;AGX;Serbia
Atlantic Coast Airlines;\N;;BLR;United States
Aero Barloz;\N;;BLZ;Mexico
Aeroper;\N;PL;PLI;Peru
Atlas Blue;\N;8A;BMM;Morocco
Aero Banobras;\N;;BNB;Mexico
Aero Flight Service;\N;;AGY;United States
Agrolet-Mci;\N;;AGZ;Slovakia
Air Alpha Greenland;\N;GD;AHA;Denmark
Azal Avia Cargo;\N;;AHC;Azerbaijan
Airport Helicopter Basel;\N;;AHE;AIRPORT HELICOPTER
Aeroservices Corporate;\N;;CJE;France
Aspen Helicopters;\N;;AHF;United States
Aerochago Airlines;\N;;AHG;Dominican Republic
Airplanes Holdings;\N;;AHH;Ireland
Air Hong Kong;\N;LD;AHK;Hong Kong
Aerochiapas;\N;;AHP;Mexico
Air Adriatic;\N;;AHR;Croatia
Air Viggi San Raffaele;\N;;AHS;Italy
ABC Air Hungary;\N;;AHU;Hungary
Aeromist-Kharkiv;\N;HT;AHW;Ukraine
Azerbaijan Airlines;\N;J2;AHY;Azerbaijan
Avies;\N;U3;AIA;Estonia
Airbus Industrie;\N;AP;AIB;France
Alpine Air Chile;\N;;AIH;Chile
Air Integra;\N;;AII;Canada
ABC Aerolineas;\N;;AIJ;Mexico
African Airlines International Limited;\N;;AIK;Kenya
African International Airways;\N;;AIN;Swaziland
Alpine Air Express;\N;5A;AIP;United States
Alicante Internacional Airlines;\N;;AIU;Spain
Aba Air;\N;;ABP;Czech Republic
Airblue;\N;ED;ABQ;Pakistan
Airmark Aviation;\N;;THM;Thailand
Airlift International;\N;;AIR;United States
Airest;\N;;AIT;Estonia
Air Baffin;\N;;BFF;Canada
Air Bandama;\N;;BDM;Ivory Coast
Air Berlin;\N;AB;BER;Germany
Air Brousse;\N;;ABT;Canada
Air Contractors;\N;AG;ABR;Ireland
Air Illinois;\N;;AIL;United States
Air India Limited;\N;AI;AIC;India
Air Inter Gabon;\N;;AIG;Gabon
Air Bourbon;\N;ZB;BUB;Reunion
Air Atlanta Icelandic;\N;CC;ABD;Iceland
Air Inuit;\N;;AIE;Canada
Air Sureste;\N;;AIS;Spain
Air Srpska;\N;RB;SBK;Bosnia and Herzegovina
Air Tahiti Nui;\N;TN;THT;France
Airvias S/A Linhas Aereas;\N;;AIV;Brazil
Aero Services Executive;\N;W4;BES;France
Atlantic Island Airways;\N;;AIW;Canada
Aircruising Australia;\N;;AIX;Australia
Aircrew Check and Training Australia;\N;;AIY;Australia
Arkia Israel Airlines;\N;IZ;AIZ;Israel
A J Services;\N;;AJA;United Kingdom
Aero JBR;\N;;AJB;Mexico
Aero Jet Express;\N;;AJE;Mexico
Avia Consult Flugbetriebs;\N;;AJF;Austria
Ameristar Jet Charter;\N;;AJI;United States
A2 Jet Leasing;\N;;AJJ;United States
Allied Air;\N;;AJK;Nigeria
Air Jamaica;\N;JM;AJM;Jamaica
Air One;\N;AP;ADH;Italy
Air Sahara;\N;S2;RSH;India
Air Malta;\N;KM;AMC;Malta
Aeroejecutivo;\N;;AJO;Mexico
Aero Jets Corporativos;\N;;AJP;Mexico
Aeroejecutivos Colombia;\N;;AJS;Colombia
Amerijet International;\N;M6;AJT;United States
Air Jetsul;\N;;AJU;Portugal
ANA & JP Express;\N;;AJV;Japan
Alpha Jet International;\N;;AJW;United States
Air Japan;\N;NQ;AJX;Japan
Ajet;\N;;AJY;Cyprus
Air Korea Co. Ltd.;\N;;AKA;Republic of Korea
Air Livonia;\N;;LIV;Estonia
Air BC;\N;;ABL;Canada
Air Fret Senegal;\N;;ABN;Senegal
Air Jamahiriya Company;\N;;LJA;Libya
Aktjubavia;\N;;AKB;Kazakhstan
Arca Aerovias Colombianas Ltda.;\N;;AKC;Colombia
Anikay Air Company;\N;;AKF;Kyrgyzstan
Akhal;\N;;AKH;Turkmenistan
Aeromilenio;\N;;MNI;Mexico
Aklak Air;\N;;AKK;Canada
Air Kiribati;\N;4A;AKL;Kiribati
Alkan Air;\N;;AKN;Canada
Angkor Airways;\N;;AKW;Cambodia
Air Nippon Network Co. Ltd.;\N;EH;AKX;Japan
AK Navigator LLC;\N;;AKZ;Kazakhstan
Aero Albatros;\N;;ALB;Mexico
Albion Aviation;\N;;ALD;United Kingdom
Aeroalas Colombia;\N;;ALE;Colombia
Allied Command Europe (Mobile Force);\N;;ALF;Belgium
Aerotaxis Albatros;\N;;BTS;Mexico
American Flyers;\N;;FYS;United States
Aero Coach Aviation;\N;;DFA;United States
Atlantic Southeast Airlines;\N;;CAA;United States
ACM Air Charter;\N;;BVR;Germany
Air Logistics;\N;;ALG;United States
Aerovallarta;\N;;ALL;Mexico
Air ALM;\N;;ALM;Netherlands Antilles
Air Lincoln;\N;;ALN;United States
America West Airlines;\N;HP;AWE;United States
Air Wisconsin;\N;ZW;AWI;United States
Aerotransporte de Carga Union;\N;;TNO;Mexico
Aero Taxis Cessna;\N;;TND;Mexico
Arizona Express Airlines;\N;;TMP;United States
Tatarstan Airlines;\N;U9;TAK;Russia
Allegheny Commuter Airlines;\N;;ALO;United States
Alpliner AG;\N;;ALP;Switzerland
Altair Aviation (1986);\N;;ALQ;Canada
Air Luxor STP;\N;;ALU;Sao Tome and Principe
Alas de Venezuela;\N;;ALV;Venezuela
Alas Nacionales;\N;;ALW;ALNACIONAL
Alyeska Air Service;\N;;ALY;United States
Alta Flights (Charters) Ltd.;\N;;ALZ;Canada
Air Sunshine;\N;;RSI;United States
ATMA;\N;;AMA;Kazakhstan
Aerolineas Medellin;\N;;AMD;Colombia
Ameriflight;\N;;AMF;United States
Air Libert;\N;VD;;France
Air Lithuania;\N;TT;KLA;Lithuania
Air Minas Linhas A;\N;;AMG;Brazil
Alan Mann Helicopters Ltd.;\N;;AMH;United Kingdom
Air Maldives;\N;;AMI;Maldives
Aviation Amos;\N;;AMJ;Canada
Amerer Air;\N;;AMK;Austria
Air Malawi;\N;QM;AML;Malawi
Aeroputul International Marculesti;\N;;AMM;Moldova
Air Montenegro;\N;;AMN;Montenegro
Air Montreal (Air Holdings Inc.);\N;;AMO;Canada
Aero Transporte S.A. (ATSA);\N;;AMP;Peru
Aeromedicare Ltd.;\N;;AMQ;United Kingdom
Air Sicilia;\N;BM;;Italy
Air Specialties Corporation;\N;;AMR;United States
Air Muskoka;\N;;AMS;Canada
ATA Airlines;\N;;AMT;United States
Air Macau;\N;NX;AMU;Macao
AMC Airlines;\N;;AMV;Egypt
Air Midwest;\N;ZV;AMW;United States
Air Seychelles;\N;HM;SEY;Seychelles
Air Sofia;\N;;SFB;Bulgaria
AeroMéxico;\N;AM;AMX;Mexico
Air Ambar;\N;;AMY;Dominican Republic
Amiya Airline;\N;;AMZ;Nigeria
All Nippon Airways;ANA All Nippon Airways;NH;ANA;Japan
Air Navigation And Trading Co. Ltd.;\N;;ANB;United Kingdom
Anglo Cargo;\N;;ANC;United Kingdom
Air Nostrum;\N;YW;ANE;Spain
Air Niugini;\N;PX;ANG;Papua New Guinea
Air Arabia;\N;G9;ABY;United Arab Emirates
Air Canada;\N;AC;ACA;Canada
Airport Bratsk;\N;;BRP;Russia
Air Wings;\N;;BSB;Moldova
Air Baltic;\N;BT;BTI;Latvia
Alajnihah for Air Transport;\N;;ANH;Libya
Air Atlantic (Nig) Limited;\N;;ANI;Nigeria
Air Nippon;\N;EL;ANK;Japan
Antares Airtransport;\N;;ANM;ANTARES
Airnorth;\N;TL;ANO;Australia
Aerol;\N;;ANQ;Colombia
Andes Lineas Aereas;\N;;ANS;Argentina
Air North Charter - Canada;\N;4N;ANT;Canada
Air Nevada;\N;;ANV;United States
AOM French Airlines;\N;IW;AOM;France
Aviacion Del Noroeste;\N;;ANW;AVINOR
Air New Zealand;\N;NZ;ANZ;New Zealand
Avia Jaynar;\N;;SAP;Kazakhstan
Aero Servicios Empresariales;\N;;EMS;Mexico
Alcon Servicios Aereos;\N;;AOA;ALCON
AVCOM;\N;J6;AOC;Russia
Aero Vodochody;\N;;AOD;Czech Republic
Air One Executive;\N;;AOE;Italy
Atair Pty Ltd.;\N;;AOF;South Africa
Aero VIP;\N;2D;AOG;Argentina
Aeromundo Ejecutivo;\N;;MUN;Mexico
Aerolinea Muri;\N;;MUR;Mexico
Astoria;\N;;AOI;ASTORIA
Aero Rent JSC;\N;;NRO;Russia
Aeronord-Grup;\N;;NRP;Moldova
Aeroatlantico Colombia;\N;;AOK;Colombia
Angkor Airlines;\N;;AOL;Cambodia
Aero Entreprise;\N;;AON;France
As;\N;;AOO;COMPANY AS
Aeropiloto;\N;;AOP;Portugal
Aeroenlaces Nacionales;\N;;VIV;Mexico
Aerovis Airlines;\N;;VIZ;Ukraine
Avjet International (FZE);\N;;VJE;United Arab Emirates
Aerovista Gulf Express;\N;;VGF;United Arab Emirates
Air Vegas;\N;6V;VGA;United States
Almaver;\N;;VER;Mexico
Afro International Ent. Limited;\N;;AOR;Nigeria
Alitalia Express;\N;XM;SMX;Italy
Asia Overnight Express;\N;OE;AOT;Philippines
Air Tractor;\N;;AOU;Croatia
Aero Vision;\N;;AOV;France
Aerotaxi Del Valle;\N;;AOX;Colombia
Air Park Aviation Ltd.;\N;;APA;Canada
Airpac Airlines;\N;;APC;AIRPAC
Aeroservicios Monterrey;\N;;SVM;Mexico
Amapola Flyg AB;\N;;APF;Sweden
Air People International;\N;;APG;Thailand
Alpha Aviation;\N;;APH;AIRFLIGHT
ASA Pesada;\N;;API;ASA PESADA
Air Print;\N;;APJ;AIR PRINT
Atlantic Airlines;\N;;BJK;United States
Aerotransporte Petrolero;\N;;PET;Colombia
Aero Flight;\N;GV;ARF;Germany
ACM Aviation;\N;;BJT;United States
Aircompany Barcol;\N;;BKL;Russia
All Charter Limited;\N;;BLA;United Kingdom
Appalachian Flying Service;\N;;APL;APPALACHIAN
Airpac;\N;;APM;ALASKA PACIFIC
Aeropro;\N;;APO;Canada
Aerolineas Pacifico Atlantico;\N;;APP;AEROPERLAS
Aspen Aviation;\N;;APQ;United States
Aeropuma;\N;;APU;AEROPUMA
Air Plan International;\N;;APV;Democratic Republic of the Congo
Arrow Air;\N;JW;APW;United States
Apex Air Cargo;\N;;APX;United States
APA Internacional;\N;;APY;Dominican Republic
Aeroatlas;\N;;AQA;ATCO
Aquila Air Ltd.;\N;;AQL;Canada
Air Queensland;\N;;AQN;Australia
Aluminum Company Of America;\N;;AQO;United States
Aviones de Renta de Quintana Roo;\N;;AQT;AVIOQUINTANA
AirQuarius Aviation;\N;;AQU;South Africa
Aerodyne Charter Company;\N;;AQZ;United States
Arik Air;\N;W3;ARA;Nigeria
Avia Air N.V.;\N;;ARB;Aruba
Air Routing International Corp.;\N;;ARC;United States
Aerocondor;\N;2B;ARD;Portugal
Aires;\N;4C;ARE; S.A.
Aerolineas Argentinas;\N;AR;ARG;Argentina
Arrowhead Airways;\N;;ARH;United States
Aero Vics;\N;;ARI;Mexico
Aerojet de Costa Rica;\N;;ARJ;
Antillana De Navegacion Aerea;\N;;SUN;Dominican Republic
Aeroservicios De San Luis;\N;;SUO;Mexico
Aerosuper;\N;;SUP;Mexico
Aero Link Air Services S.L.;\N;;ARK;Spain
Airlec - Air Aquitaine Transport;\N;;ARL;France
Aeromarket Express;\N;;ARM;Spain
Arrow Aviation Ltd.;\N;;ARO;Canada
RPA-Aviataxi Ltd.;\N;;ARP;Russia
Air Klaipeda;\N;;KLD;Lithuania
Armstrong Air;\N;;ARQ;ARMSTRONG
Air Armenia;\N;QN;ARR;Armenia
Aeromet Servicios;\N;;ARS;Chile
Aerotal Aerolineas Territoriales de Colombia Ltda;\N;;ART;Colombia
Aravco Ltd.;\N;;ARV;United Kingdom
Aria;\N;;ARW;France
Air Xpress;\N;;ARX;AIREX
Airline Alania;\N;;OST;Russia
Air Tchad;\N;;HTT;Chad
Aerloineas de Techuacan;\N;;HUC;Mexico
Aerotransportes Huitzilin;\N;;HUT;Mexico
Aero Transportes Del Humaya;\N;;HUY;Mexico
Argosy Airways;\N;;ARY;United States
Air Resorts;\N;;ARZ;United States
Alaska Airlines;\N;AS;ASA;ALASKA
Air-Spray 1967 Ltd.;\N;;ASB;Canada
Air Star Corporation;\N;;ASC;Canada
Air Sinai;\N;4D;ASD;Egypt
Airstars;\N;PL;ASE;Russia
Air Schefferville;\N;;ASF;SCHEFF
African Star Airways (PTY) Ltd.;\N;;ASG;South Africa
Aerosun International;\N;;ASI;AEROSUN
Air Satellite;\N;;ASJ;Canada
Awesome Flight Services (PTY) Ltd.;\N;;ASM;South Africa
Air and Sea Transport;\N;;ASN;Russia
Aero Slovakia;\N;;ASO;Slovakia
Airsprint;\N;;ASP;Canada
Atlantic Southeast Airlines;\N;EV;ASQ;United States
All Star Airlines;\N;;ASR;ALL STAR
Air Class;\N;;ASS;AIR CLASS
Aerlineas Del Oeste;\N;;AST;Mexico
Aviones Are;\N;;NRE;Mexico
Air Nepal International;\N;;NPL;Nepal
Air Napier;\N;;NPR;New Zealand
Air Taxi & Cargo;\N;;WAM;Sudan
Arrow Panama;\N;;WAP;Panama
Astravia-Bissau Air Transports Ltd.;\N;;ASV;Guinea-Bissau
Astrakhan Airlines;\N;OB;ASZ;Russia
Air Transport Association;\N;;ATA;United States
Atlantair Ltd.;\N;;ATB;Canada
Air Tanzania;\N;TC;ATC;Tanzania
Aerotours Dominicana;\N;;ATD;Dominican Republic
Atlantis Transportation Services;\N;;ATE;ATLANTIS CANADA
Aerotrans Airline;\N;;ATG;Kazakhstan
Air Charter World;\N;;XAC;United States
Air Burkina;\N;2J;VBW;Burkina Faso
Air Travel Corp.;\N;;ATH;United States
Aero-Tropics Air Services;\N;HC;ATI;Australia
Air Traffic GmbH;\N;;ATJ;Germany
AeroTACA;\N;;ATK;Colombia
Aerocentral;\N;;ATL;Mexico
Airlines Of Tasmania;\N;FO;ATM;Australia
Air Saint Pierre;\N;PJ;SPM;France
Air Transport International;\N;8C;ATN;United States
ASTRAL Colombia - Aerotransportes Especiales Ltda.;\N;;ATP;Colombia
Air Transport Schiphol;\N;;ATQ;Netherlands
Aeroferinco;\N;;FEO;Mexico
Aero Taxis Y Servicios Alfe;\N;;FES;Mexico
Avialesookhrana;\N;;FFA;Russia
Africair Service;\N;;FFB;Senegal
Atlas Airlines;\N;;ATR;United States
Air Transport Service;\N;;ATS;Democratic Republic of the Congo
Aer Turas;\N;;ATT;Ireland
Atlant Aerobatics Ltd.;\N;;ATU;Hungary
Avanti Air;\N;;ATV;Germany
Aero Trades (Western) Ltd.;\N;;ATW;Canada
Austrian Airlines;\N;OS;AUA;Austria
Air Southwest;\N;;WOW;United Kingdom
Augsburg Airways;\N;IQ;AUB;Germany
Air Corporate;\N;;CPV;Italy
